time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-01-08 06:02:38.930000+00:00,38.82433,-122.78883,0.798,0.89,d,7,223.0,1.0,0.06,NC,71506985,2011-01-08T06:04:10.000Z,"Cobb, CA",eq,0.95,0.57,0.01,9,A,NC,NC
2011-01-08 06:15:37.280000+00:00,38.82217,-122.77866,-0.193,0.45,d,6,131.0,1.0,0.01,NC,71506990,2011-01-08T06:17:10.000Z,"Cobb, CA",eq,0.3,0.75,0.06,8,A,NC,NC
2011-01-08 07:06:47.440000+00:00,38.84184,-122.79034,-0.832,0.43,d,5,163.0,3.0,0.01,NC,71507010,2011-01-08T07:08:21.000Z,"Cobb, CA",eq,0.74,4.11,0.13,7,A,NC,NC
2011-01-08 07:31:32.160000+00:00,38.83567,-122.8055,0.214,0.38,d,8,68.0,1.0,0.03,NC,71507025,2011-01-08T07:33:05.000Z,"Cobb, CA",eq,0.28,1.05,0.07,8,A,NC,NC
2011-01-08 12:00:34.180000+00:00,38.838,-122.784,1.54,1.18,d,57,82.0,1.0,0.07,NC,71507075,2011-01-12T19:13:44.000Z,"Cobb, CA",eq,0.12,0.16,0.12,14,F,NC,NC
2011-01-08 13:24:23.170000+00:00,38.83867,-122.8035,1.323,0.43,d,9,74.0,1.0,0.03,NC,71507095,2011-01-08T13:25:56.000Z,"Cobb, CA",eq,0.38,0.63,0.14,10,A,NC,NC
2011-01-08 13:24:55.950000+00:00,38.8385,-122.80717,0.205,0.43,d,5,141.0,1.0,0.01,NC,71507100,2011-01-08T13:26:30.000Z,"Cobb, CA",eq,1.03,2.92,0.14,5,A,NC,NC
2011-01-08 13:57:12.200000+00:00,38.84283,-122.82383,1.538,0.45,d,5,110.0,1.0,0.01,NC,71507120,2011-01-08T13:58:46.000Z,"Cobb, CA",eq,0.61,1.26,0.14,6,A,NC,NC
2011-01-08 20:06:40.920000+00:00,38.845,-122.82484,0.51,0.73,d,6,141.0,1.0,0.03,NC,71507210,2011-01-08T20:08:15.000Z,"Cobb, CA",eq,0.51,1.04,0.13,9,A,NC,NC
2011-01-09 02:11:03.640000+00:00,38.84333,-122.82967,1.724,1.3,d,42,50.0,1.0,0.06,NC,71507335,2011-01-13T01:03:32.000Z,"Cobb, CA",eq,0.15,0.28,0.18,12,F,NC,NC
2011-01-09 04:06:30.310000+00:00,38.80933,-122.74,-0.795,0.48,d,7,113.0,3.0,0.04,NC,71507385,2011-01-09T04:08:06.000Z,"Cobb, CA",eq,0.42,3.56,0.09,7,A,NC,NC
2011-01-09 05:46:39.020000+00:00,38.83033,-122.803,1.013,1.92,d,54,38.0,1.0,0.08,NC,71507420,2011-01-10T22:45:42.000Z,"Cobb, CA",eq,0.11,0.18,0.23,29,F,NC,NC
2011-01-09 05:48:01.330000+00:00,38.83216,-122.80217,1.268,0.56,d,12,60.0,1.0,0.03,NC,71507425,2011-01-09T05:49:36.000Z,"Cobb, CA",eq,0.29,0.57,0.31,12,A,NC,NC
2011-01-09 05:48:25.460000+00:00,38.84417,-122.82917,1.465,0.45,d,8,120.0,1.0,0.03,NC,71507430,2011-01-09T05:50:02.000Z,"Cobb, CA",eq,0.58,1.01,0.14,9,A,NC,NC
2011-01-09 05:48:42.430000+00:00,38.83933,-122.79433,1.687,0.89,d,7,165.0,0.0,0.02,NC,71507435,2011-01-09T05:50:16.000Z,"Cobb, CA",eq,0.98,0.53,0.08,10,A,NC,NC
2011-01-09 07:44:09.570000+00:00,38.8365,-122.8,1.409,0.79,d,9,70.0,1.0,0.03,NC,71507475,2011-01-09T07:45:41.000Z,"Cobb, CA",eq,0.4,0.64,0.0,10,A,NC,NC
