shapelet,ig
"-0.013617097483573409, -0.013549964529258808, -0.013435436536830311",0.00010286712647944452
"-0.013254095521181352, -0.013023749632001293, -0.012751310108638227",0.00010286712647944452
"-0.012419199379565052, -0.012040240397494573, -0.011638242405451894",0.00010286712647944452
"-0.011190302895481775, -0.010722648493981992, -0.010238696427557946",0.00010286712647944452
"-0.009734326124669516, -0.009219641736527593, -0.008707489481419141",0.00010286712647944452
"-0.008181921915266106, -0.007668724351941488, -0.0071659313996817724",0.00010286712647944452
"-0.006678106845096187, -0.0062109981315843854, -0.005754240384345151",0.00010286712647944452
"-0.005322479238289709, -0.004915922586665195, -0.004535758410435131",0.00020574952149243764
"-0.004176268078141317, -0.0038446866390538462, -0.0035407221367639496",0.00010286712647944452
"-0.003260102427929339, -0.0030019424329075124, -0.002773602805981745",0.00010286712647944452
"-0.002561882936546007, -0.0023816928410923983, -0.002215267558105358",0.00023321712770973946
"-0.0020731113533034437, -0.0019481692925010811, -0.0018480814473294535",0.00010286712647944452
"-0.0017615930827090918, -0.0016876334746825472, -0.0016353964501292046",0.00020574952149243764
"-0.001588481044319124, -0.0015613240208772507, -0.0015433829741180651",0.00020574952149243764
"-0.0015316168760909667, -0.0015316053730276436, -0.0015419557737141494",0.00010286712647944452
"-0.00155362919709515, -0.0015700929554920817, -0.0015867612783217024",0.00020574952149243764
"-0.0016020416959262908, -0.0016163373375269185, -0.0016303350096102125",0.00020574952149243764
"-0.0016328855620446094, -0.001632573836718304, -0.0016251968993035498",0.00010286712647944452
"-0.0016053569984615934, -0.001574375374841494, -0.0015308443841448999",0.0003086471897527643
"-0.0014777045442537686, -0.0014129919178627673, -0.0013336421447929393",0.00015154814335671674
"-0.001244397755703704, -0.0011468796631574074, -0.0010297262763867936",0.00041156013597609675
"-0.0009166234007922935, -0.0007990311469919823, -0.0006773350551317545",0.00020574952149243764
"-0.0005426479252026621, -0.00041500884324251024, -0.0002888987292584133",0.00011093526984473634
"-0.00016442840258911948, -4.230278282919093e-05, 6.720633661191737e-05",0.0003086471897527643
