shapelet,ig
"0.002709436395874497, 0.0027139032373274113, 0.0027052237960867587, 0.0026967598711727624, 0.00268776604232588",5.9062284649802343e-05
"0.0027078586849737865, 0.002677526826667111, 0.00269175251278728, 0.002692888640668238, 0.0027099102955619805",0.00017720195412118667
"0.002735443424303291, 0.0027629508563867377, 0.002822676916101481, 0.0029191580775598577, 0.0030018739794801935",8.213696328740472e-05
"0.003116549994817513, 0.003275598298185257, 0.003445717080513543, 0.0036595927536684503, 0.003913532091192572",0.00017720195412118667
"0.0041704823833508264, 0.00450021267819932, 0.00484731811872699, 0.00525293728563627, 0.00566456057505015",0.0001181296023929912
"0.0061412947557578645, 0.006618428753647286, 0.007130637283644468, 0.007661084285149991, 0.008210616339490977",0.0003137710986882425
"0.008766667806545697, 0.009333809612141059, 0.009881745480271674, 0.010430836248360515, 0.010965640028598567",0.0001181296023929912
"0.011478799496818062, 0.011947534132664134, 0.012381598318552697, 0.012779277248128173, 0.013120328581494811",5.9062284649802343e-05
"0.013371487893359825, 0.013585423356594961, 0.013733844583721184, 0.013791193649183645, 0.013783581048096932",5.9062284649802343e-05
"0.013707898203928592, 0.013559078559784027, 0.013332642824012586, 0.013032526314157952, 0.012653170638339012",5.9062284649802343e-05
"0.012247068605023791, 0.011724261761171188, 0.011188804479472608, 0.010609068677290029, 0.00997872595159871",0.0001181296023929912
"0.00930813243491243, 0.008639175517995687, 0.007945037133737757, 0.0072147999962882126, 0.006508734533491373",0.00011602796112697433
"0.005809610886089833, 0.005114095693178351, 0.004444348320119649, 0.0037952937003592636, 0.0031922817989564825",0.00020118977078520395
"0.002611129364482538, 0.002077075259697997, 0.0015689257251098182, 0.0011192065441816348, 0.0007049897177986708",0.00023627934072689705
"0.00032610079521147584, -3.340153254815636e-06, -0.0002862221485327304, -0.0005357282484082307, -0.0007374755029859112",0.00017720195412118667
"-0.000918800990974647, -0.001057283487453764, -0.0011707532436942558, -0.0012728032661387043, -0.0013505372518435987",5.9062284649802343e-05
"-0.001405217252708646, -0.0014627797412868002, -0.0014930017730911682, -0.0015416254650755454, -0.0015825768626450964",6.247490839916825e-05
"-0.001642092408803239, -0.0016982546423554082, -0.0017764243927410328, -0.0018663950009877991, -0.0019835987242814573",0.0002953617631020755
"-0.002136506521484338, -0.0022991027859349256, -0.0024920923084755155, -0.002725177348270224, -0.0029689330549613584",0.0001181296023929912
"-0.003251554244279839, -0.0035962636282143162, -0.003956803757084397, -0.004341743306560882, -0.004765980612681901",0.0001181296023929912
"-0.005200504345623004, -0.005694533263245824, -0.006184792369978778, -0.006699729723247607, -0.007211593864050212",0.00017720195412118667
"-0.007744352331986586, -0.008255531548861769, -0.008804164323646564, -0.009273908981473098, -0.009744765076762793",0.00023627934072689705
"-0.01019370649328373, -0.010603501363575005, -0.010981433873949467, -0.011286035789865503, -0.01153709028708552",5.9062284649802343e-05
"-0.011740706257650477, -0.011828447977189807, -0.011881673550416406, -0.011838153229742951, -0.011740435118825826",5.9062284649802343e-05
"-0.011543329913623475, -0.011270777990501387, -0.0109175315129078, -0.010497594933228833, -0.009995728633117077",5.9062284649802343e-05
"-0.009425248159283164, -0.008815745620462424, -0.00812036168470491, -0.007386918989449202, -0.00660619969203706",5.9062284649802343e-05
"-0.005805756206003022, -0.004968365463683913, -0.004120206137971302, -0.0032711785406516827, -0.002406413625009228",0.00017909972816798625
"-0.0015754150833448798, -0.0007437002235319862, 6.542559641575102e-05, 0.0008490875868690148, 0.001571894421228568",0.0001005318600864058
"0.0022680521492205643, 0.002930535672554801, 0.0035166662633975866, 0.00407078308706061, 0.004557077437184545",8.546474197346221e-05
"0.005003529010103858, 0.0053685187948309745, 0.0057035401310306585, 0.005971344415193397, 0.0061827648170561765",5.9062284649802343e-05
"0.006338932309733744, 0.006444531339402836, 0.0064908845050057045, 0.006503549371560252, 0.006483076850845188",0.0001240578403985948
"0.006379286010150536, 0.006249860714986878, 0.0060890324197968235, 0.005881573259144787, 0.0056463821735456415",5.9062284649802343e-05
"0.005385212915744765, 0.005098230715327529, 0.004770672319770124, 0.004420652523901345, 0.004055914402140783",7.604939400240873e-05
"0.0036638130796590104, 0.0032410275548374404, 0.0028031735206116085, 0.0023541760802280823, 0.0018789721459426534",0.00017720195412118667
"0.0014067094098867425, 0.000901927689082288, 0.000431557749428347, -7.548376478737351e-05, -0.0005807142867365299",0.000205390154343843
"-0.0010924720150108647, -0.0015901459318885744, -0.0020923985837895537, -0.0025764697582456725, -0.0030567237065966604",9.832999198899905e-05
"-0.0035261736423720345, -0.00397982833216776, -0.004392890095378769, -0.004793227368459354, -0.005175134384335801",0.0001181296023929912
"-0.005506936248903263, -0.005792038946718536, -0.006055668826145819, -0.0062686248265900095, -0.006442397658675197",0.00012539718127224653
"-0.006541564624676602, -0.006625451258269771, -0.00663017728510497, -0.006598556118486296, -0.006502981878280332",5.9062284649802343e-05
"-0.0063444435301269414, -0.006134367876878162, -0.005862780647782229, -0.005555455187320972, -0.005215126743883648",0.00011262452505178544
"-0.004796884738808564, -0.004360331208901535, -0.0038957499568691278, -0.0034007569418244405, -0.0028909183010114832",0.0001181296023929912
"-0.002366531376124484, -0.0018434903943744842, -0.0013194455332404406, -0.0008080040076206482, -0.0003093920946098576",0.00017583701260692752
"0.00015887447855422515, 0.0006107096895674674, 0.0010368911722926106, 0.0014022370683756946, 0.0017668325727089804",9.890882596086392e-05
"0.002058207030176451, 0.0023243888898300674, 0.0025843219536822383, 0.002777991144628539, 0.0029672598051474867",6.92865885482119e-05
"0.0031151032504515633, 0.0032412592640284066, 0.003384038071713235, 0.0034975668814810467, 0.0036249682526873044",0.00010330267697777895
"0.003738285531015637, 0.0038864504763995262, 0.004015090927103594, 0.004210299230538832, 0.004403032289175815",6.873186078859561e-05
"0.004635521432412231, 0.004871809270414251, 0.005173788219389993, 0.005496340264850498, 0.00582034194029022",0.00017720195412118667
"0.006187059385231904, 0.006573241180237079, 0.006953913953429346, 0.007364572712556413, 0.007767944915600652",0.00011478666557529493
"0.008171500841823588, 0.008548655806168145, 0.008915321659138206, 0.009253737012648228, 0.009562564562611451",0.0001181296023929912
"0.009841055857515213, 0.010053427300784436, 0.010243923497536694, 0.010367554649388738, 0.010436490387236375",0.0001181296023929912
"0.010444926966380788, 0.010413156279369777, 0.010309016535935349, 0.010149395967668808, 0.009936051809285203",0.00017720195412118667
"0.009661773724192572, 0.009331871277457271, 0.008963650523514517, 0.00853497936647235, 0.008085629801070034",7.950155027591777e-05
"0.007595413255417842, 0.007064259886681308, 0.006499641073585104, 0.005915697712027761, 0.005308181792488752",0.00011313968949144826
"0.004694667296148862, 0.004072712716969795, 0.0034337594302322194, 0.0027902740717167945, 0.002167144153529879",0.00012742604831816884
"0.0015126431076393978, 0.0008713671455637811, 0.00023581718832033083, -0.0003888442066096315, -0.0010161424918542356",7.014960148787885e-05
"-0.00163874158064152, -0.0022246746411643484, -0.002816941373451308, -0.0033852362893595986, -0.003952713649112649",0.0001181296023929912
"-0.004509256496606544, -0.00504312049904176, -0.005535173762021948, -0.006029377550708578, -0.006515547444087236",0.0001181296023929912
"-0.006968129825605782, -0.007374188470894397, -0.007757335305130952, -0.008103861467341253, -0.008421765403194836",6.186032969246469e-05
"-0.008667908865774947, -0.008898869811599347, -0.009061759012145093, -0.00917759239335965, -0.009237066832485687",0.0001181296023929912
"-0.009229734099139828, -0.009145196847780826, -0.009000813987181949, -0.008803779641985202, -0.008535416176326645",0.00012539718127224653
"-0.008184205908018249, -0.007763731136324687, -0.007286568264863402, -0.006761974219919188, -0.006158977426003326",0.00017027082314724495
"-0.005491926173165643, -0.004806311913668669, -0.004063632705184533, -0.0032958485329729614, -0.002470772985893141",0.0003573131904063276
"-0.001638162880720509, -0.000788430072739224, 7.413435962578749e-05, 0.0009252556570460077, 0.0017647336480043092",0.00017720195412118667
"0.0025815863759156635, 0.00336460461335222, 0.004125278539929958, 0.004821425862298311, 0.00547436528175816",0.00023627934072689705
"0.006097944549557411, 0.006632041053832187, 0.007101156864366852, 0.007496175004156721, 0.007815298147749939",0.0001181296023929912
"0.008045902900648867, 0.008204061294968524, 0.008281594395839238, 0.00826012488401813, 0.008180484803589808",5.9062284649802343e-05
"0.007987776205300251, 0.007735076149228193, 0.007413052598608078, 0.0070001033117254655, 0.006570472200711044",0.00010675002382620757
"0.006044950662643815, 0.005483116209489318, 0.004895870045407289, 0.004256049489086755, 0.003619284184961942",0.00011076728749803699
"0.0029467703000192885, 0.0023030344056338, 0.0016518918050241957, 0.001017028964454894, 0.000418810956119689",0.0002953617631020755
