shapelet,ig
"0.88, 0.0, 0.28",0.0002376456759931589
"0.43, 0.85, 0.43",0.0005365170768804051
"0.52, 0.86, 0.57",0.0005457661258317925
"0.45, 0.87, 0.72",0.00036494507919271335
"0.51, 0.54, 0.56",0.00016386505501597703
"0.88, 0.83, 0.94",0.00019842344990428362
"0.5, 0.47, 0.5",0.00017952805417664752
"0.29, 0.88, 0.39",0.0006778304122180279
"0.56, 0.71, 0.89",0.0005052558653122485
"0.78, 0.51, 0.89",0.0003118994921679219
"0.6, 0.75, 0.43",0.0003814211308076354
"0.51, 0.84, 0.57",0.0004816624994988805
"0.37, 0.34, 0.51",0.0002096437952471275
"0.77, 0.28, 0.57",0.0004391136736432433
"0.77, 0.69, 0.88",0.0003509120240228203
"0.0, 0.61, 0.95",0.00025947721784591593
"0.55, 0.91, 0.8",0.0003496313351014635
"0.46, 0.9, 0.55",0.0004943367580292346
"0.28, 0.88, 0.99",0.0003911094988980901
"0.47, 0.55, 0.33",0.0003843848299172059
"0.0, 0.77, 0.33",0.0004240530655467145
"0.61, 0.77, 0.18",0.0003961214047573103
"0.35, 0.96, 0.43",0.0006787245244646023
"0.87, 0.65, 0.32",0.000374320253172411
"0.0, 0.51, 0.28",0.0003765635196165684
"0.48, 0.89, 0.87",0.00020588787246500484
"0.91, 0.51, 0.59",0.00019429682120231107
"0.96, 0.89, 0.43",0.0002376456759931589
"0.49, 0.28, 0.43",0.0001490069418292883
"0.53, 0.58, 0.43",0.0003966654347370424
"0.73, 0.52, 0.67",0.0003214493977820032
"0.55, 0.96, 0.47",0.0005990821244662436
"0.51, 0.43, 0.56",0.000909907770653251
"0.89, 0.56, 0.49",0.00027852082112600485
"0.55, 0.72, 0.28",0.00033620495523412064
"0.67, 0.51, 0.56",0.00029225596602455717
"0.55, 0.52, 0.57",0.00031687901112986694
"0.78, 0.36, 0.43",0.00044638352815384863
"0.54, 0.28, 0.96",0.00042085406343850273
"0.92, 0.91, 0.28",0.00047537285902921056
"0.52, 0.45, 0.88",0.0005564700678765133
"0.89, 0.48, 0.28",0.0006008326644738604
"0.58, 0.43, 0.48",0.0002376456759931589
"0.18, 0.51, 0.59",0.0002611653238465683
"0.43, 0.28, 0.86",0.0002757346172269637
"0.39, 0.0, 0.94",0.0002788684260984775
"0.56, 0.28, 0.07",0.00039179438154046675
"0.48, 0.85, 0.78",0.0002869857404631526
"0.89, 0.52, 0.49",0.0003389589802784698
"0.59, 0.53, 0.89",0.00038771555038052963
"0.93, 0.43, 0.18",0.0009128784819585345
"0.56, 0.55, 0.96",0.0004218614815280075
"0.91, 0.59, 0.51",0.0003961214047573103
"0.42, 0.93, 0.37",0.0007060094691263563
"0.5, 0.48, 0.38",0.00043533975165355177
"0.68, 0.54, 0.18",0.00029403359538360263
"0.45, 0.68, 0.71",0.00019382117595401205
"0.44, 0.89, 0.88",0.0001849094409156482
"0.53, 0.89, 0.54",0.0005251378857302758
"0.28, 0.89, 0.96",0.00037951184859907894
"0.88, 0.56, 0.54",0.00027549335600129954
"0.38, 0.96, 0.54",0.0006888389802319761
"0.43, 0.43, 0.55",0.00013484628864524062
"0.51, 0.38, 0.46",0.0004886872219519445
"0.28, 0.43, 0.89",0.0002672929091217524
"0.63, 0.43, 0.86",0.00038250517843352316
"0.94, 0.5, 0.88",0.00033021595302318296
"0.88, 0.5, 0.08",0.00027861863728573244
"0.52, 0.3, 0.85",0.0003220374849066676
"0.43, 0.88, 0.51",0.0006273367464054713
"0.89, 0.45, 0.43",0.00048475479915788267
"0.68, 0.88, 0.38",0.0004279714081840691
"0.43, 0.89, 0.88",0.0002376456759931589
"0.43, 0.43, 0.66",0.0002376456759931589
"0.45, 0.7, 0.08",0.00040340770023539196
"0.51, 0.55, 0.52",0.0002758953630588312
"0.75, 0.73, 0.97",0.00047537285902921056
"0.88, 0.73, 0.28",0.00027416402024804665
"0.89, 0.86, 0.55",0.00025396968853619306
"0.6, 0.43, 0.48",0.00015842139719379755
"0.67, 0.56, 0.45",0.00016039920544086428
"0.89, 0.89, 0.79",0.00015842139719379755
"0.39, 0.28, 0.44",0.00047537285902921056
"0.72, 0.43, 0.97",0.000465500915058481
"0.51, 0.57, 0.96",0.000307885020052745
"0.89, 0.9, 0.78",0.00016311695645343516
"0.89, 0.55, 0.78",0.00037157138066978845
"0.48, 0.43, 0.49",0.00020166030503898646
"0.78, 0.46, 0.88",0.0002443728318998195
"0.89, 0.48, 0.85",0.0004119012806085287
"0.46, 0.43, 0.43",0.0002869857404631526
"0.73, 0.51, 0.89",0.00031687901112986694
"0.88, 0.51, 0.56",0.0001474208626948137
"0.43, 0.53, 0.28",0.000420495002682042
"0.43, 0.0, 0.56",0.0002970676376700121
"0.28, 0.84, 0.07",0.0005142147722317914
"0.69, 0.54, 0.89",0.00047537285902921056
"0.08, 0.97, 0.95",0.00031728391271867995
"0.84, 0.43, 0.43",0.00042938410125525905
"0.43, 0.78, 0.73",0.00022649450657885595
"0.89, 0.1, 0.55",0.0004546107396190546
"0.88, 0.9, 0.85",0.00031687901112986694
"0.43, 0.8, 0.88",0.00033619982770571877
"0.38, 0.74, 0.51",0.00048163105170662135
"0.53, 0.89, 0.51",0.0004092807719057179
"0.73, 0.88, 0.85",0.00047668899692532296
"0.7, 0.54, 0.88",0.00031687901112986694
"0.54, 0.43, 0.45",0.00042085406343850273
"0.46, 0.59, 0.54",0.00042190655535601085
"0.92, 0.43, 0.52",0.00023624642427944043
"0.46, 0.48, 0.89",0.00022986628213450544
"0.47, 0.55, 0.44",0.0003863665578570652
"0.88, 0.51, 0.55",0.00019413047342797807
"0.43, 0.65, 0.5",0.0004201139359035766
"0.49, 0.57, 0.43",0.00043363099436621866
"0.95, 0.55, 0.83",0.0003436964495447947
"0.52, 0.76, 0.45",0.0004420438394988624
"0.43, 0.69, 0.45",0.00048783314948519507
"0.49, 0.87, 0.45",0.0005418013809740385
"0.38, 0.53, 0.86",0.00025867291679215754
"0.55, 0.89, 0.95",0.0002183170232060716
"0.96, 0.53, 0.69",0.0002667714984166958
"0.87, 0.39, 0.07",0.00022960493418466843
"0.46, 0.89, 0.43",0.0004635656643990904
"0.89, 0.18, 0.28",0.0003581823738775247
"0.53, 0.48, 0.45",0.0001850369107135874
"0.84, 0.43, 0.88",0.0003768578389625743
"0.8, 0.88, 0.76",0.00042940030027505127
"0.85, 0.55, 0.52",0.00031687901112986694
"0.43, 0.87, 0.46",0.0006141566430144518
"0.92, 0.54, 0.19",0.0008292769082068885
"0.38, 0.55, 0.86",0.00031687901112986694
"0.41, 0.59, 0.88",0.00022396053123208137
"0.56, 0.98, 0.18",0.000569066744257829
"0.57, 0.65, 0.45",0.00025120319353433285
"0.48, 0.28, 0.89",0.0002893665854046823
"0.7, 0.43, 0.43",0.00031687901112986694
"0.88, 0.88, 0.52",0.0002376456759931589
"0.28, 0.43, 0.75",0.0003063465806254495
"0.69, 0.35, 0.43",0.00019632809566416665
"0.43, 0.51, 0.47",0.0003478312631338687
"0.37, 0.7, 0.53",0.0004406499886048243
"0.52, 0.55, 0.37",0.00041655587184108445
"0.92, 0.86, 0.43",0.0002376456759931589
"0.53, 0.45, 0.43",0.00021487723273150294
"0.51, 0.51, 0.72",0.00012674564851655745
"0.38, 0.45, 0.68",0.0002376456759931589
"0.56, 0.08, 0.47",0.0003592804638729019
"0.3, 0.56, 0.43",0.0005323189025382424
"0.32, 0.52, 0.55",0.00028113036806776126
"0.46, 0.53, 0.54",0.00031512932805799476
"0.43, 0.89, 0.87",0.00023496901426378614
"0.45, 0.55, 0.92",0.000274698764179071
"0.07, 0.4, 0.43",0.00035430670424285715
"0.8, 0.88, 0.45",0.00025720491025094105
"0.29, 0.88, 0.07",0.0005509871263077448
"0.89, 0.97, 0.89",0.0002376456759931589
"0.56, 0.93, 0.47",0.000480823966516275
"0.88, 0.46, 0.88",0.0003961214047573103
"0.56, 0.88, 0.45",0.0004967249816892894
"0.99, 0.53, 0.88",0.0003961214047573103
"0.53, 0.54, 0.75",0.00019429682120231107
"0.43, 0.28, 0.18",0.00023314594557455326
"0.89, 0.52, 0.7",0.00029442529962453445
"0.46, 0.91, 0.87",0.0002745449066713368
"0.43, 0.88, 0.84",0.0002789886332236202
"0.54, 0.18, 0.88",0.00031982691662002516
"0.32, 0.55, 0.88",0.00030078664919774845
"0.88, 0.53, 0.89",0.00031699314623767627
"0.53, 0.7, 0.95",0.0005135549683291663
"0.28, 0.53, 0.55",0.0002798270377073475
"0.43, 0.83, 0.43",0.0004861517798853132
"0.34, 0.49, 0.28",0.0007045669879640615
"0.41, 0.37, 0.43",0.00021409540265082683
"0.5, 0.56, 0.52",0.0003900428378692533
"0.68, 0.55, 0.28",0.00042085406343850273
"0.43, 0.73, 0.53",0.0003546441410242629
"0.87, 0.53, 0.43",0.00043612168504059134
"0.88, 0.79, 0.43",0.00015842139719379755
"0.79, 0.24, 0.5",0.00037855161141797655
"0.86, 0.69, 0.34",0.00020047218979268866
"0.48, 0.51, 0.9",0.0002698471508640887
"0.45, 0.53, 0.88",0.0002382413706326636
"0.43, 0.75, 0.89",0.0004383825060982893
"0.88, 0.53, 0.37",0.0005930359931289875
"0.08, 0.8, 0.68",0.000524313678274213
"0.57, 0.49, 0.97",0.0002851702931638833
