shapelet,ig
"0.86, 0.69, 2.67, 1.03, 0.16",0.00016674829744833808
"0.56, 0.51, 0.49, -0.28, 1.34",0.00011799541867441032
"0.48, 1.35, 1.86, 1.41, 0.89",0.0001933196978359808
"0.26, 0.64, 1.83, 1.19, 0.0",0.0002579798124929811
"2.33, 0.72, 0.89, 0.9, 0.85",0.00014927953894972035
"0.65, 0.27, 0.24, 0.97, 0.99",0.00034272071289009887
"1.22, 1.29, 1.03, 0.64, 0.38",9.665310920226045e-05
"0.65, 1.13, 0.62, 0.84, 0.35",0.00013724097651468536
"1.81, 1.34, 1.8, 0.69, 1.08",0.0001676550949186728
"0.57, 3.53, 0.28, 0.27, 1.13",0.00014293796050413032
"0.89, 1.35, 1.2, 1.24, 3.68",0.00012168159993430905
"1.48, 1.28, 1.4, 1.83, 1.02",0.0001933196978359808
"1.41, 1.46, 1.34, 1.08, 0.62",0.00015690128530965186
"2.01, 1.09, 2.59, 1.41, 1.88",0.00032221302480472946
"1.35, 0.57, 1.0, 0.9, 2.22",0.00010949638135548945
"0.67, 2.22, 0.0, 1.08, 1.76",0.00013172925487225928
"0.17, 1.34, 0.79, 2.38, 1.23",0.00019102799139480986
"3.79, 1.91, 1.44, 0.89, 1.1",0.00016567251875732047
"0.93, 1.41, 0.49, 0.4, 0.55",0.00014012971431276444
"1.37, 0.87, 1.2, 2.8, 2.21",0.0001548667587344399
"1.59, 0.95, 1.49, 1.21, 1.11",0.0002108396760879261
"0.98, 1.32, 1.29, 1.82, 1.11",0.0001852190257844999
"3.27, 0.4, 0.63, 1.85, 1.47",0.0001315709512855756
"0.57, 1.75, 1.19, 0.68, 1.0",0.00011849319332013497
"1.45, 0.65, 0.58, 1.67, 1.05",0.00010033715399415666
"0.07, 1.48, 0.39, 1.38, 0.63",0.0002491705658507204
"1.1, -0.06, 1.18, 0.97, 1.2",8.39660667409925e-05
"-0.11, 0.33, 1.36, 1.34, 0.28",0.00010949638135548945
"0.19, 1.61, 1.58, 0.99, 1.51",0.00010992159867684315
"0.48, 1.17, 0.72, 1.4, 1.78",0.0001114316992832931
"0.03, 0.84, 1.18, 0.17, 1.86",0.00011203475597976187
"2.66, 0.41, 0.75, 1.04, 0.93",0.00014498471834600846
"2.24, 0.85, 0.78, 0.62, 0.81",9.446815666458441e-05
"0.56, 1.87, 0.43, 1.15, 2.17",0.00016775393841139685
